sample_fp	plate	well	tile	cycle
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-009__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	9	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-009__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	9	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	10	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	11	7
