sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-053__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	53
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-054__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	54
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-055__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	55
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-056__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	56
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-057__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	57
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-058__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	58
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-059__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	59
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-060__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	60
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-061__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	61
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-062__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	62
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-063__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	63
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-064__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	64
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-065__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	65
